"id","question_text","company","date","interview_id"
"q1","расскажи про себя, про опыт","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q2","расскажи про unit test и react-testing library","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q3","работал ли с tailwind","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q4","работал ли с react-hook-form","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q5","что такое setValue и setError в react-hook-form","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q6","работал ли с zod","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q7","приходилось ли написать валидатор на уникальность при помощи zod","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q8","что такое refine в zod","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q9","как сделать валидацию поля, чтобы оно зависело от другого поля","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q10","что такое union в zod","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q11","что такое shouldValidate и как он работает в react-hook-form","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q12","что такое react-query","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q13","как заставить рефетчнуть данные, если мы добавили новый элемент в массив в redux-toolkit или react-query","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q14","какие хуки знаешь","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q15","что такое virtual DOM","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q16","useCallback и React.memo: когда нужно использовать и когда можно не использовать","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q17","что такое key в React","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q18","что произойдет, если key изменился","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q19","что такое замыкание и зачем нам доступ к переменным из вышестоящего скоупа","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q20","разница между примитивами и объектами","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q21","знаешь ли способ, чтобы нельзя было поменять свойства объекта","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q22","что такое event loop","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q23","как подгружаются скрипты в JS: async и defer","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q24","что знаешь про HTTP кеширование","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q25","как кешируется GET запрос, как его инвалидировать и какие заголовки для этого есть","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q26","что будет, если мы поставили картинке кешируемость 1 день","Belitsoft","2025-05-16","interview_Belitsoft_000"
"q27","какие HTTP методы знаешь и зачем они нужны","Belitsoft","2025-05-16","interview_Belitsoft_000"
